,level_0,index,Unnamed: 0,title,ingredients,directions,link,source,NER
10,274040,1631375,1631375,Autumn Stewed Fruits And Daims Cookies,"[""4 quinces peeled and quatered."", ""6 apples Boskoop, peeled and quartered"", ""2 pears peeled and quartered"", ""1 tablespoon water"", ""1 tablespoon granulated sugar"", ""7 tablespoons butter at room temperature"", ""5/8 cup cane sugar sugar"", ""1/2 egg"", ""1 1/2 cups flour"", ""vanilla"", ""salt"", ""1/2 teaspoon baking powder"", ""2 candy bars Daims""]","[""Peel and quarter the quinces. Steam for 15 minutes in the pressure cooker. Drain."", ""In a stew pot, put your apples and pears, peeled and cut into quarters, with 1 tablespoon of water and 1 tablespoon of granulated sugar. Put to cook on medium heat with a lid on for about ten minutes. Stir when the apples begin to swell and burst. Feel free to add any spices you like (vanilla, cinnamon ...)."", ""If you prefer a smooth texture, place all the fruits in a mixer and blend. If you prefer a chunky textur, combine the fruits in a bowl and crush them with a fork. Sweeten the fruit compote according to your taste."", ""Preheat oven to 140 \u00b0"", ""In a bowl, whisk together the butter and the sugar cane sugar. Add the egg and keep mixing."", ""In another bowl, pour the flour, salt, vanilla, the baking powder and Daims candy bars broken into small pieces with a knife."", ""Mix and stir in 2 or 3 times to the above mixture to obtain a homogeneous dough."", ""Using a spoon scoop of ice cream or a teaspoon, shape dough balls."", ""Arrange them slightly apart from each other on a baking tray covered with parchment paper. Flatten them slightly with the back of a spoon and bake them for 15-20 minutes."", ""Cookies harden as they cool, so it is better not to over cook them so that they are a little soft in the center."", ""Let cool on a rack.""]",www.yummly.com/recipe/Autumn-Stewed-Fruits-and-Daims-Cookies-782170,Gathered,"[""apples Boskoop"", ""water"", ""sugar"", ""butter"", ""cane sugar sugar"", ""egg"", ""flour"", ""vanilla"", ""salt"", ""baking powder"", ""Daims""]"
11,15170,2112675,2112675,Best Ever Baked Beans,"[""5 pounds beans with pork, canned"", ""1/2 cup onions chopped"", ""1/2 cup celery chopped"", ""13 cup sweet red bell peppers chopped"", ""2 tablespoons prepared mustard"", ""1/2 cup molasses"", ""1 teaspoon worcestershire sauce"", ""1/2 cup barbecue sauce"", ""1/2 cup ketchup""]","[""Combine all ingredients, except in bacon, in large ovenproof container."", ""Lay bacon strips on top."", ""Place on smoker grid and smoke for 2 to 2 1/2 hours.""]",recipeland.com/recipe/v/best-baked-beans-45642,Recipes1M,"[""beans"", ""onions"", ""celery"", ""sweet red bell peppers"", ""mustard"", ""molasses"", ""worcestershire sauce"", ""barbecue sauce"", ""ketchup""]"
12,97172,405588,405588,Creamy Ham Bake,"[""1/2 (1 lb.) bag Dutch Maid noodles"", ""1 1/2 c. chopped celery"", ""1/4 c. butter"", ""1/2 c. chopped green pepper"", ""1/4 to 1/2 c. chopped onion"", ""2 cans cream of mushroom soup"", ""2/3 c. milk"", ""2 c. grated Cheddar cheese"", ""2 to 3 c. cubed fully cooked ham"", ""1/2 tsp. salt (optional)"", ""1/2 c. bread crumbs""]","[""Cook noodles separately."", ""In a large skillet, melt butter. Add celery, green pepper, onion and salt."", ""Cook until tender. Blend in soup and milk; stir in cheese, stirring constantly, until cheese melts."", ""Combine egg noodles, soup mixture and ham."", ""Mix well."", ""Pour into a 3-quart casserole dish and top with bread crumbs."", ""Bake at 350\u00b0 for 30 to 40 minutes. Serves 6 to 8.""]",www.cookbooks.com/Recipe-Details.aspx?id=943300,Gathered,"[""Dutch"", ""celery"", ""butter"", ""green pepper"", ""onion"", ""cream of mushroom soup"", ""milk"", ""Cheddar cheese"", ""salt"", ""bread crumbs""]"
13,413592,1692004,1692004,Sinkers .. Dumplings,"[""2 eggs"", ""3 cup milk"", ""7 cup all purpose flour"", ""1/2 tsp salt and pepper""]","[""what are sinkers?"", ""idk.. my family been making them for a long time."", ""it is basically a dumpling .only heavier."", ""it is called a sinker for 2 reasons."", ""1: they sink to the bottom of the pot when cooking and 2 they are heavy and sink to the bottom of your belly."", "":) they have no actual flavor."", ""they are a great filler."", ""the gravy is what gives them their awesomness."", ""They also are great in soups."", ""With mushroom gravy, pan gravy, white gravy, peppered gravy, sausage gravy, well any kind of gravy really!"", "":)"", ""start boiling salted water in a large pot."", ""only fill pot about halfway."", ""the sinkers will raise the water."", ""grab a big bowl."", ""put the eggs n milk in bowl and whisk."", ""pour in 2 cups.of flour and stir with a strong handled spoon."", ""add 2 more cups of flour and stir again."", ""add 1 cup flour and keep stirring."", ""(warning.. your arm will get tired."", ""and when you can not stir anymore and the flour doesn't seem to mix in, ditch the spoon and work with you're hands to knead the flour in)"", ""keep adding in flour 1/2 cup at a time."", ""and keep mixing and kneading with hands until it is no longer sticky and you ran out of flour."", ""(this will take some practice, its easy for me cuz I've been doing it for years."", ""I know by feel, no matter they still are good)"", ""drop dough into boiling water by heaping tablespoon."", ""(they will SINK to the bottom of the pot.)"", ""boil for about 20 minutes."", ""after about 5 minutes give them a quick stir.. you will start to see the sinkers float after a while."", ""once they are all floating cook for 10 more minutes.."", ""remove from water and transfer to a bowl to drain."", ""to serve place a couple on a plate with your favorite meal and smother them with gravy."", ""or put into a soup."", ""I have mine with beef with mushroom gravy.. see recipe I have posted."", ""it is awesome together.."", ""serves about 5-8 depending on what your doing with them""]",cookpad.com/us/recipes/336683-sinkers-dumplings,Recipes1M,"[""eggs"", ""milk"", ""flour"", ""salt""]"
14,217339,729326,729326,Calico Pickles,"[""4 c. sliced cucumbers (1 inch slices)"", ""2 1/4 c. carrots, sliced"", ""2 c. celery, sliced"", ""2 c. onion, cubed"", ""2 c. sweet red pepper, cubed"", ""1 c. green pepper, cubed"", ""1 medium head cauliflower, broken into florets (6 c.)"", ""1 c. salt"", ""4 qt. cold water"", ""2 c. sugar"", ""1/4 c. mustard seed"", ""2 Tbsp. celery seed"", ""2 Tbsp. dried whole black peppercorns"", ""1 Tbsp. dried cilantro"", ""6 1/2 c. vinegar""]","[""Combine vegetables in a large bowl. Dissolve salt in water and pour over vegetables. Soak for 15 to 18 hours in a cool place; drain. In a large kettle, mix sugar, spices and vinegar. Bring to a boil; boil for 3 to 4 minutes. Add vegetables and simmer 5 to 7 minutes. Pack hot into 8 hot pint jars, leaving 1/4 inch headspace. Remove air bubbles."", ""Adjust caps and process 15 minutes in boiling water bath.""]",www.cookbooks.com/Recipe-Details.aspx?id=983312,Gathered,"[""cucumbers"", ""carrots"", ""celery"", ""onion"", ""sweet red pepper"", ""green pepper"", ""head cauliflower"", ""salt"", ""cold water"", ""sugar"", ""celery"", ""black peppercorns"", ""cilantro"", ""vinegar""]"
15,34399,894482,894482,Diabetic Cake,"[""1 c. raisins"", ""1 c. unsweetened applesauce"", ""2 eggs"", ""1/4 c. Sweet 'N Low"", ""3/4 c. Wesson oil"", ""2 c. self-rising flour"", ""1 c. prunes"", ""1 tsp. cinnamon"", ""1 tsp. nutmeg"", ""1 tsp. soda"", ""1 c. chopped walnuts"", ""1 tsp. vanilla""]","[""Cook raisins in 1 cup water; cool."", ""Also cook prunes in 1 cup water and cool."", ""Dredge walnuts and raisins in flour."", ""Beat eggs and applesauce."", ""Combine all ingredients."", ""Bake at 350\u00b0 for 35 to 40 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=289650,Gathered,"[""raisins"", ""unsweetened applesauce"", ""eggs"", ""N"", ""Wesson oil"", ""flour"", ""prunes"", ""cinnamon"", ""nutmeg"", ""soda"", ""walnuts"", ""vanilla""]"
16,219798,1020259,1020259,Apple Roses,"[""2 -3 apples (pink lady, braeburn, or honeycrisp)"", ""2 sheets puff pastry, thawed"", ""6 tablespoons apricot preserves"", ""4 tablespoons water"", ""2 tablespoons lemon juice (juice of half a lemon)"", ""2 tablespoons brown sugar"", ""2 tablespoons unsalted butter, melted"", ""1/2 teaspoon ground cinnamon"", ""1/4 teaspoon ground nutmeg""]","[""Remove puffed pastries from freezer and thaw according to package."", ""Preheat the oven to 375\u00b0F. Grease a standard muffin tin."", ""Slice the apples in half from top to bottom. Remove the core ends and then scoop out the core in the center. Using a very sharp knife or mandolin on the second setting, slice paper thin 1/8-inch slices and immediately sprinkle and toss in lemon juice prevent browning. Toss in the butter, sugar, cinnamon, and nutmeg."", ""Microwave the slices for 45 seconds, or until soft and pliable enough to mold."", ""When pastries are thawed, place them flat on a floured surface. Roll the pastries out with a rolling pin the flatten just a little more in to a 9\""x12\"" rectangle. Cut each pastry into six 2-inch wide slices."", ""In a small bowl, combine the preserves with 2 tablespoons of water. Microwave for 30 seconds if it was refrigerated."", ""Spread preserves evenly over each strip of dough. Arrange about 10 apple slices lengthwise in a straight line, overlapping slightly, on a strip of dough. Fold up the bottom part of the dough and begin tightly rolling the dough to form the rose shape. Press the edge to seal and place in the muffin tin. Repeat for all the pieces of pastry until have 12 apple roses."", ""Make ahead: at this point the unbaked assembled roses can be covered and stored in the fridge for up to 1 day before baking as directed. Pastries are best served the day they are baked but can be stored in an airtight container and rewarmed in a 300\u00b0F oven for 5 to 10 minutes, or until warmed through and flaky again."", ""Place a pan of water on the bottom rack of oven so the bottom of pastries do not burn."", ""Bake for 40 minutes, or until golden and cooked through. Sprinkle with powdered sugar, if desired.""]",www.food.com/recipe/apple-roses-529671,Gathered,"[""apples"", ""pastry"", ""apricot preserves"", ""water"", ""lemon juice"", ""brown sugar"", ""unsalted butter"", ""ground cinnamon"", ""ground nutmeg""]"
17,214091,857296,857296,Apple Cake,"[""2 C sugar"", ""4 eggs beaten"", ""1 tsp cloves"", ""1 tsp nutmeg"", ""1 tsp cinnamon"", ""3 C flour"", ""2 tsp soda"", ""1 C nuts"", ""1 C butter"", ""1 C cold coffee"", ""pinch of salt"", ""3 C peeled raw apples chopped"", ""1 C raisins""]","[""Cream butter and sugar, add beaten eggs. Sift dry ingredients which have been mixed together alternately with coffee. Add apples, raisins and nuts. Bake at 350 degrees for 1 hour or until done.""]",www.cookbooks.com/Recipe-Details.aspx?id=30545,Gathered,"[""sugar"", ""eggs"", ""cloves"", ""nutmeg"", ""cinnamon"", ""flour"", ""soda"", ""nuts"", ""butter"", ""cold coffee"", ""salt"", ""apples"", ""raisins""]"
18,334765,590881,590881,Raspberry Dessert,"[""1/2 lb. vanilla wafer crumbs"", ""4 (10 oz.) pkg. frozen raspberries (thawed and drained well)"", ""2 1/2 c. powdered sugar"", ""3/4 c. soft butter"", ""2 eggs, well beaten"", ""1/2 pt. heavy cream""]","[""Grease lightly a 9 x 12 inch pan."", ""Cover bottom of pan with crumbs."", ""Combine sugar and soft butter."", ""Cream well."", ""Add 2 very well beaten eggs."", ""Mix for at least 10 to 15 minutes."", ""Pour mixture over crumbs."", ""Spread raspberries evenly over mixture. Whip heavy cream, 3 Tablespoons powdered sugar and 1 teaspoon vanilla."", ""Pour over raspberries."", ""Top with remaining crumbs.""]",www.cookbooks.com/Recipe-Details.aspx?id=151315,Gathered,"[""vanilla wafer crumbs"", ""frozen raspberries"", ""powdered sugar"", ""butter"", ""eggs"", ""heavy cream""]"
19,380505,1302279,1302279,Cranberry-Citrus Swizzle ,"[""3 1/4 c Cranberry Juice"", ""2 1/2 c citrus-flavored vodka"", ""1 1/4 c Cointreau"", ""3/4 c lemon juice"", ""sparkling water"", ""frozen whole cranberries""]","[""Combine juices and liquor in pitcher. Chill thoroughly-can freeze. Use about 2/3 mixture to 1/3 sparkling water. Garnish with cranberries""]",www.epicurious.com/recipes/member/views/cranberry-citrus-swizzle-51518231,Gathered,"[""Cranberry Juice"", ""citrus-flavored vodka"", ""lemon juice"", ""sparkling water"", ""cranberries""]"
20,309699,1988628,1988628,Crab Salad Lettuce Wraps,"[""1 serrano or jalapeno pepper, seeded and minced"", ""2 rounded tablespoons sugar"", ""3 tablespoons rice wine vinegar or white vinegar (eyeball it)"", ""1 mango, peeled and diced"", ""5 radishes, thinly sliced"", ""1 celery rib, thinly sliced"", ""1/2 red onion, finely chopped"", ""Juice of 1 lime"", ""3 tablespoons mayonnaise, plain yogurt, or sour cream"", ""3 tablespoons fresh cilantro leaves (a mounded palmful), chopped"", ""3 tablespoons fresh flat-leaf parsley leaves (a mounded palmful), chopped"", ""1 pound lump crabmeat, cleaned of bits of shell and cartilage"", ""Bibb or iceberg lettuce, for wrapping""]","[""In a small sauce pot, combine 2 tablespoons water with the hot peppers, sugar, and vinegar."", ""Place over high heat and bring up to a simmer, then turn it off."", ""Stir to ensure the sugar has dissolved completely."", ""Remove from the heat."", ""Transfer the mixture to a mixing bowl and let stand for 5 minutes to cool."", ""Add the mangoes, radishes, celery, red onions, lime juice, mayonnaise, cilantro, and parsley."", ""Stir to combine."", ""Gently fold in the crabmeat."", ""To serve, pile the crab salad in lettuce leaves."", ""Roll the leaves around the crab salad to encase it.""]",www.epicurious.com/recipes/food/views/crab-salad-lettuce-wraps-374292,Recipes1M,"[""serrano"", ""sugar"", ""rice wine vinegar"", ""mango"", ""radishes"", ""celery"", ""red onion"", ""lime"", ""mayonnaise"", ""fresh cilantro"", ""parsley"", ""lump crabmeat""]"
21,23616,1167697,1167697,Jimmy Carter Cake,"[""First Layer"", ""1 cup flour"", ""1/2 cup margarine, softened"", ""2/3 cup chopped peanuts"", ""Second Layer"", ""1/3 cup creamy peanut butter or 1/3 cup crunchy peanut butter"", ""1 (8 ounce) package cream cheese, room temperature"", ""1 cup confectioners' sugar"", ""1 cup Cool Whip (out of an 8 oz. container, save rest for layer 4)"", ""Third Layer"", ""1 (4 ounce) package instant chocolate pudding mix"", ""1 (3 1/2 ounce) package instant vanilla pudding"", ""2 3/4 cups milk"", ""Fourth Layer"", ""rest Cool Whip"", ""chocolate shavings (optional)"", ""chopped peanuts (optional)""]","[""First Layer: Combine flour, margarine and peanuts and blend like pie crust."", ""Press into bottom of 9 x 13 pan and bake 20 minutes at 350\u00b0F (Note: It takes a little work to make the crust cover the whole bottom, but it does and its worth it!)."", ""Cool."", ""Second Layer: Blend all second layer ingredients together and pour carefully on top of first layer."", ""Spread to even it out."", ""Third Layer: Blend third layer ingredients and pour on top of second layer."", ""Let pudding set up a little before putting fourth layer on."", ""Fourth Layer: Put remainder of Cool Whip on top and garnish with the shaved chocolate and peanuts.""]",www.food.com/recipe/jimmy-carter-cake-112767,Gathered,"[""Layer"", ""flour"", ""margarine"", ""peanuts"", ""Layer"", ""peanut butter"", ""cream cheese"", ""sugar"", ""layer"", ""Layer"", ""chocolate pudding"", ""vanilla pudding"", ""milk"", ""Layer"", ""chocolate shavings"", ""peanuts""]"
22,4783,1259564,1259564,Beef Steak Au Gratin With Spring Vegetables,"[""1 3/4 lb boneless beef shoulder"", ""2 tbsp vegetable oil"", ""2 stick celery, chopped"", ""6 None small carrots, peeled, halved and sliced"", ""2 None onions, peeled and sliced"", ""3 tbsp tomato puree"", ""2 1/8 cups red wine"", ""2/3 cup butter"", ""5 None shallots, peeled and finely chopped"", ""1 1/4 cup fresh white breadcrumbs"", ""1 tbsp Dijon mustard"", ""3 None medium egg yolks"", ""1 tbsp chives, chopped"", ""2.75 oz Parmesan cheese, grated"", ""1 tbsp cornstarch, blended with 3 tbsp water"", ""8.75 oz runner beans, trimmed and sliced"", ""8.75 oz asparagus spears, trimmed and chopped"", ""3.5 oz frozen peas""]","[""Season the beef to taste. Heat the oil in a deep heavy-bottom frying pan and sear the beef over high heat until browned all over. Remove from the pan and set aside. Add the celery, 2 of the chopped carrots and the onions and fry for 5 mins, then stir in the tomato puree and wine and bring to a boil."", ""Return beef to the pan with 1 1/4 cups water. Cover tightly and simmer very gently for 3 hrs until very tender. Remove the meat from the cooking liquid and cover and keep warm."", ""Melt the butter in a small frying pan and fry the shallots gently until softened. Remove from heat and stir in the breadcrumbs, mustard, egg yolks, chives and Parmesan cheese. Cut the beef into 4 thick slices and place cut side down on a baking sheet. Top with the Parmesan mixture and place under a medium hot broiler for 4-5 mins until the topping is browned."", ""To make gravy, strain the beef cooking liquid into a pan, add the blended cornstarch and simmer, stirring, for 10 mins until just thickened and slightly reduced."", ""Cook the remaining carrots with the beans and asparagus in a pan of boiling water for 4-5 mins until just tender, adding the peas after 3 mins. Drain and divide among four serving plates. Spoon over the gravy and top with the beef.""]",recipes-plus.com/api/v2.0/recipes/19434,Gathered,"[""beef shoulder"", ""vegetable oil"", ""celery"", ""carrots"", ""onions"", ""tomato"", ""red wine"", ""butter"", ""shallots"", ""fresh white breadcrumbs"", ""mustard"", ""egg yolks"", ""chives"", ""Parmesan cheese"", ""cornstarch"", ""runner beans"", ""frozen peas""]"
23,283531,1812329,1812329,Crab Spring Rolls,"[""8 cloves garlic, crushed"", ""1 tsp. coriander seeds, crushed"", ""Oil for frying"", ""3 md. tomatoes, sliced"", ""1/2 cup cold water"", ""1/2 tsp. pepper"", ""1 tsp. salt"", ""3 cups young okra pods"", ""10 white baby onions"", ""1/2 cup lemon juice"", ""1/2 tsp. sugar""]","[""Combine crab, mayonnaise, chili and salt."", ""Stir gently; let some crab lumps remain."", ""Beat the egg yolks in a small bowl."", ""Place a 3-inch portion of crab across the center of each of the wrappers."", ""Fold over two sides of the wrapper so that they meet in the middle, then brush with a bit of the beaten yolk."", ""Roll tightly and set aside, uncovered (rolls can be refrigerated for as long as a day before frying)."", ""Place at least an inch of oil in a saucepan or deep fryer; heat to approximately 365F."", ""Fry the spring rolls in two batches until they are lightly browned, just a minute or two."", ""To serve, wrap each roll in a lettuce leaf with some cilantro and mint, and accompany with tamarind ketchup.""]",www.foodgeeks.com/recipes/4208,Recipes1M,"[""garlic"", ""coriander seeds"", ""tomatoes"", ""cold water"", ""pepper"", ""salt"", ""young okra pods"", ""white baby onions"", ""lemon juice"", ""sugar""]"
